stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,saliency_component_count,largest_component_fraction,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,region_norm,heuristic_norm,maxstack_score,stage1_selection_score,stage1_combined_score,validation_count,validation_mean_selection,validation_mean_combined,validation_mean_clip,validation_mean_visual,validation_mean_region,validation_mean_heuristic,validation_worst_selection,validation_best_selection,robustness_score,rank,render_path
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,380,9338_round38_targeted_repair_9338_no_dragon_tokens_380,round38_targeted_repair_9338_no_dragon_tokens,"small quilled fantasy hamster creature, orange snout and dark glossy eyes, turquoise chest oval, colorful scale spines around the back, tiny paws near belly, painted multicolor aura rising behind, soft painterly fantasy portrait",,openai/clip-vit-large-patch14,0.8906688690185547,0.5225714445114136,0.015233125537633896,0.12342254874063287,0.658675601709177,0.7743592438874423,0.05372766321027397,0.946272336789726,0.9671155420294126,0.8730800860316356,0.8838753644115821,0.6645904555641236,8.0,0.712925668253387,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,1.0,0.9537002634661468,0.9602221734817736,0.9323464507880257,0.7698942491992304,0.7403880174219918,0.7570294682519476,0.9031668545195902,True,0,0.9331668545195902,0.8963180771817786,0.5780381952025583,0.8642479576510662,0.9331668545195902,0.9031668545195902,3,0.6963785069512615,0.6863785069512613,0.8309076428413391,0.8693702140468739,0.8778973564273594,0.6647473761752778,0.6320503946487891,0.8047985724017653,0.7810864568758401,1,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_01_candidate_380.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,138,9338_round38_targeted_repair_9338_no_dragon_tokens_138,round38_targeted_repair_9338_no_dragon_tokens,"small quilled fantasy hamster creature, orange snout and dark glossy eyes, teal oval belly, rainbow scale quills, small clawed paws close to torso, painted multicolor aura rising behind, storybook creature painting",,openai/clip-vit-large-patch14,0.8658196330070496,0.5367251038551331,0.016502561047673225,0.12846229426439973,0.6347428301543436,0.7703699182581017,0.057942225243486925,0.9420577747565131,0.977523669208374,0.8718914182226002,0.877624247185368,0.6143369730297575,11.0,0.39127324749642345,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9314718509262373,0.8971083071078663,0.9052921276169531,0.8928892264952092,0.7623523730360032,0.6417689611615021,0.851249606422248,0.8577067406504134,False,1,0.8577067406504134,0.8661597327226163,0.41292245155365864,0.790954657250451,0.8577067406504134,0.8577067406504134,3,0.7836919463545088,0.7636919463545088,0.8255746563275655,0.8838898745413216,0.890674764505886,0.6408202975365653,0.7166295652855393,0.8384814518020857,0.7696296339833663,2,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_02_candidate_138.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,390,9338_round38_targeted_repair_9338_no_dragon_tokens_390,round38_targeted_repair_9338_no_dragon_tokens,"compact rainbow quilled hamster, small orange muzzle and whiskers, teal oval belly, painted rainbow bristles behind shoulders, small clawed paws close to torso, painted multicolor aura rising behind, storybook creature painting",,openai/clip-vit-large-patch14,0.8557302951812744,0.5253716707229614,0.018561288714408875,0.1362398205900495,0.5098107758633602,0.8344376175491899,0.04869757365719628,0.9513024263428037,0.9824608350141691,0.9049449441199506,0.8844874432735271,0.6353503515657072,7.0,0.4740304709141274,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9036479111374988,0.9425038459384387,0.8205219986951512,0.6869175914830451,0.883473258872576,0.8580900895996093,0.8959435687838923,0.875166066004757,False,1,0.875166066004757,0.8992710349470403,0.48196522129934594,0.8278960462067182,0.875166066004757,0.875166066004757,3,0.7444950457573016,0.7344950457573015,0.8195067644119263,0.8948314561977305,0.8697920848540378,0.6777526462876452,0.5596175542697168,0.911700522802811,0.7649727401468595,3,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_03_candidate_390.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,226,9338_round38_targeted_repair_9338_no_dragon_tokens_226,round38_targeted_repair_9338_no_dragon_tokens,"small quilled fantasy hamster creature, pointed orange muzzle, blue green belly patch, rainbow scale quills, little paws tucked near chest, painted multicolor aura rising behind, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8300888538360596,0.5367702841758728,0.014345570467412472,0.11977299556833532,0.6473931215516914,0.8474900987413195,0.050873088778656726,0.9491269112213433,0.9770247190574987,0.9089699071725637,0.9006298238628919,0.6304408767040243,9.0,0.5553897799328609,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8329350524340173,0.896927658225661,1.0,0.9137453728003299,0.9081491579894319,0.807183910863098,0.8467328330059325,0.889388350976306,True,0,0.919388350976306,0.9771495095600976,0.46583436724046556,0.8681441982169089,0.919388350976306,0.889388350976306,3,0.7068541384771653,0.6968541384771654,0.8228633006413778,0.8611428276219025,0.8645833480937202,0.6052083436656042,0.6581845245033677,0.737981272650776,0.7466736948629873,4,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_04_candidate_226.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,179,9338_round38_targeted_repair_9338_no_dragon_tokens_179,round38_targeted_repair_9338_no_dragon_tokens,"upright spiny hamster creature, small orange muzzle and whiskers, blue green belly patch, colorful scale spines around the back, little paws tucked near chest, painted multicolor aura rising behind, vertical storybook illustration",,openai/clip-vit-large-patch14,0.809722900390625,0.6267644166946411,0.017542466521263123,0.13244797665975544,0.5540386030853357,0.8585860640914352,0.07152906607684978,0.9284709339231503,0.9541986796798156,0.9021682916502115,0.8990953808603582,0.6293667666022508,9.0,0.6154465004022526,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7767707062508239,0.5370953423332065,0.8618507046825945,0.7598346497804148,0.9291262364125504,0.3238423509969205,0.6400988683102171,0.6949573394746572,False,1,0.6949573394746572,0.969746631170727,0.46230520907528083,0.7338334070852496,0.6949573394746572,0.6949573394746572,3,0.8064610613060288,0.7864610613060288,0.8234021464983622,0.8895559893808126,0.8811711002186099,0.6636393949726517,0.7465203326391692,0.8852825432905536,0.7451145117688681,5,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_05_candidate_179.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,473,9338_round38_targeted_repair_9338_no_dragon_tokens_473,round38_targeted_repair_9338_no_dragon_tokens,"round fantasy hamster with colored quills, pointed orange muzzle, teal oval belly, painted rainbow bristles behind shoulders, tiny forepaws near the belly, painted multicolor aura rising behind, vertical storybook illustration",,openai/clip-vit-large-patch14,0.814814031124115,0.5127385854721069,0.019037095829844475,0.137974982623099,0.5841953301384623,0.8625957347728588,0.06197211735704799,0.938027882642952,0.9848035531519463,0.913438550203209,0.8951123133163751,0.6265786193214625,11.0,0.16209386281588448,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.790810806545943,0.9930159426213392,0.8016098275133281,0.8095531180550242,0.9367065751826443,0.5474711067369904,0.9171511523231879,0.8583581256019769,False,1,0.8583581256019769,0.9505304305063372,0.4531443113931115,0.8270693963630934,0.8583581256019769,0.8583581256019769,3,0.7055568886725592,0.695556888672559,0.8431381583213806,0.8766000283430248,0.8731235595131936,0.6132364559704419,0.6019192521284713,0.8205371563826354,0.7413146268831952,6,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_06_candidate_473.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,357,9338_round38_targeted_repair_9338_no_dragon_tokens_357,round38_targeted_repair_9338_no_dragon_tokens,"small quilled fantasy hamster creature, pointed orange muzzle, blue green belly patch, painted rainbow bristles behind shoulders, little paws tucked near chest, vertical orange teal flame aura, vertical storybook illustration",,openai/clip-vit-large-patch14,0.7819483280181885,0.5702541470527649,0.017020229250192642,0.13046160067312007,0.5835040263339786,0.8740070484302662,0.06472330469072213,0.9352766953092779,0.9497248906233914,0.9105949932765454,0.8994000352701766,0.6680156252679949,7.0,0.5481186685962374,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7001751909956628,0.7630458640819736,0.8835009494292986,0.8084133867370072,0.958279824012206,0.4830944298000717,0.5995996492102507,0.7673325857317737,False,1,0.7673325857317737,0.9712164280565985,0.5892921305371221,0.7965668747432779,0.7673325857317737,0.7673325857317737,3,0.6692031828606159,0.6692031828606159,0.8052098155021667,0.8794995200521436,0.88173476982699,0.6406292598638249,0.6241326485316271,0.7193454044006334,0.7344615218002014,7,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_07_candidate_357.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,386,9338_round38_targeted_repair_9338_no_dragon_tokens_386,round38_targeted_repair_9338_no_dragon_tokens,"small quilled fantasy hamster creature, small orange muzzle and whiskers, glowing teal oval chest, painted rainbow bristles behind shoulders, small clawed paws close to torso, painted multicolor aura rising behind, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8092972040176392,0.5814846754074097,0.01683916710317135,0.1297658163892608,0.5699513322458793,0.8883226182725693,0.05939678220801863,0.9406032177919814,0.9435050620242106,0.9176573168546919,0.9053661944090184,0.6337563360863129,12.0,0.3040462427745665,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7755967391922541,0.7181417474085345,0.8910845590469216,0.7860694768734603,0.9853436099720719,0.6077329132901454,0.5432943120507481,0.7812517872799991,False,1,0.7812517872799991,1.0,0.47672783200820457,0.7968868999555346,0.7812517872799991,0.7812517872799991,3,0.6632825451496106,0.6632825451496106,0.7757163445154825,0.8912905966982602,0.8943461947300557,0.626042336311039,0.5573194835884926,0.740136115492661,0.7334150301207392,8,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_08_candidate_386.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,532,9338_round38_targeted_repair_9338_no_dragon_tokens_532,round38_targeted_repair_9338_no_dragon_tokens,"compact rainbow quilled hamster, small orange muzzle and whiskers, turquoise chest oval, painted rainbow bristles behind shoulders, little paws tucked near chest, vertical orange teal flame aura, storybook creature painting",,openai/clip-vit-large-patch14,0.8384750485420227,0.5451378226280212,0.0185832642018795,0.13632044674911942,0.5600030106747683,0.8432594581886574,0.049265192841782816,0.9507348071582172,0.9793564859643673,0.9080952358831452,0.8855070820262828,0.6198549574183979,11.0,0.5249389605859783,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8560621377377974,0.8634709132658959,0.8196432244406319,0.769667985108537,0.9001510725725291,0.8448080290063303,0.8678412799309654,0.8517572269244625,False,1,0.8517572269244625,0.9041902542828357,0.4310526596472034,0.8091782949347202,0.8517572269244625,0.8517572269244625,3,0.702779352371151,0.702779352371151,0.8280384143193563,0.8799772403859238,0.8748079914028809,0.6154221574825501,0.60337869747266,0.7644221260506239,0.7318199350579181,9,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_09_candidate_532.png
stage3_fixed_seed_final,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed_final,459,9338_round38_targeted_repair_9338_no_dragon_tokens_459,round38_targeted_repair_9338_no_dragon_tokens,"small quilled fantasy hamster creature, small orange muzzle and whiskers, blue green belly patch, painted rainbow bristles behind shoulders, small clawed paws close to torso, painted multicolor aura rising behind, soft painterly fantasy portrait",,openai/clip-vit-large-patch14,0.776245653629303,0.6095374822616577,0.016955483704805374,0.13021322400127175,0.4903147210104513,0.880984836154514,0.07254854443297336,0.9274514555670267,0.9610362767967062,0.9132584410773319,0.8926924324650892,0.7306945886571213,6.0,0.6326996197718631,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6844486020389746,0.6059754741735255,0.8862080984137144,0.6547750455437337,0.9714714297619382,0.2999869675510019,0.7019965886232936,0.6959194148130663,False,1,0.6959194148130663,0.9388557813800708,0.7952337514797181,0.7783551755819652,0.6959194148130663,0.6959194148130663,3,0.6886303349122885,0.6786303349122885,0.7938310305277506,0.889708882969455,0.8748473618927773,0.6485386351397172,0.5323064223089917,0.7899103327713779,0.7250931042693941,10,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260602-211211_round38_9338_targeted\9338\rank_10_candidate_459.png
