stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,saliency_component_count,largest_component_fraction,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,region_norm,heuristic_norm,maxstack_score,stage1_selection_score,stage1_combined_score,validation_count,validation_mean_selection,validation_mean_combined,validation_mean_clip,validation_mean_visual,validation_mean_region,validation_mean_heuristic,validation_worst_selection,validation_best_selection,robustness_score,rank,render_path,teal_belly_score,side_asymmetry_score
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,409,1159_25_round41_final_extensive_409,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9336682558059692,0.308493971824646,0.01427325140684843,0.11947071359479038,0.8096091782854367,0.833486486364294,0.06682023914140903,0.933179760858591,0.9750182176935426,0.8966854787031477,0.8966854787031477,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7551455941077644,1.0,1.0,1.0,0.9594204714364634,0.9351174493509236,0.8581939156141271,0.9270673705417775,True,0,0.9570673705417775,0.9687898496278479,0.5,0.8963602328100283,0.9570673705417775,0.9270673705417775,5,0.6228636835152781,0.6228636835152781,0.8967243075370789,0.8658906340693765,0.8658906340693765,0.5,0.39040939006022213,0.7838754733017741,0.7667926747736807,1,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_01_candidate_409.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,414,1159_25_round41_final_extensive_414,round41_final_extensive,"warm citrus drink product photo, clear tumbler filled with creamy orange liquid, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9196876287460327,0.37518513202667236,0.019132211804389954,0.13831923873557847,0.7555716620749929,0.8480473271122685,0.07148937275618505,0.928510627243815,0.9817948613489162,0.9029589890056393,0.9029589890056393,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6001227989705508,0.8270693901977055,0.86646580998021,0.9148984527817446,0.9887670780393074,0.7563383067993946,0.9112249730528483,0.8011857844622545,False,1,0.8011857844622545,0.9949948768825316,0.5,0.8132863205152165,0.8011857844622545,0.8011857844622545,5,0.700925145533563,0.694925145533563,0.9077172398567199,0.8656977165931803,0.8656977165931803,0.5,0.5497758518227873,0.8713089603318743,0.7610473136053166,2,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_02_candidate_414.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,472,1159_25_round41_final_extensive_472,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, small pineapple colored garnish over the rim, large orange slice at lower right, tiny orange chunks in the foreground, realistic studio food photo",,openai/clip-vit-large-patch14,0.9431161284446716,0.3954862356185913,0.01943809539079666,0.13942057018530896,0.716004152382777,0.8045676902488426,0.06512571653701346,0.9348742834629865,0.9838439350161639,0.8860302468272572,0.8860302468272572,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8599073918635438,0.7744284972641406,0.8586633213512811,0.8525851465730092,0.9011361630151888,1.0,0.9272601298163017,0.8409716607252828,True,0,0.8709716607252829,0.9242819699481424,0.5,0.833962514806144,0.8709716607252829,0.8409716607252828,5,0.6465286974237494,0.6465286974237494,0.9028377294540405,0.8741100018197681,0.8741100018197681,0.5,0.47216552584278704,0.8276477905222928,0.7586075590872812,3,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_03_candidate_472.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,400,1159_25_round41_final_extensive_400,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9327019453048706,0.3602038025856018,0.016992101445794106,0.13035375501225158,0.7766645051432916,0.8458596688729746,0.06603123153085085,0.9339687684691491,0.9809157853599295,0.9037090770290266,0.9037090770290266,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7444307560530375,0.8659160743466294,0.9228980458801168,0.9481167371557615,0.9843579682329963,0.965328215570124,0.9043457077947453,0.8683010363007277,False,1,0.8683010363007277,0.9981280632723697,0.5,0.8530904587706857,0.8683010363007277,0.8683010363007277,5,0.6267912947966352,0.6267912947966352,0.9053548097610473,0.8690403207216744,0.8690403207216744,0.5,0.48477537061284504,0.7354764733413507,0.7509422556246699,4,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_04_candidate_400.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,277,1159_25_round41_final_extensive_277,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, large orange slice at lower right, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9260159730911255,0.36235445737838745,0.01561279408633709,0.12495116680662526,0.7753512012571916,0.8520276104962384,0.07202931700965598,0.927970682990344,0.9758366342723507,0.9033694906243978,0.9033694906243978,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6702940169539247,0.8603394125572106,0.9611732018756175,0.9460484668037417,0.9967891292833917,0.7356640707150656,0.8645984867863412,0.8432995672746503,False,1,0.8432995672746503,0.9967095797504595,0.5,0.8381924313494258,0.8432995672746503,0.8432995672746503,5,0.6427202883428906,0.6427202883428906,0.9043069243431091,0.8690972474070948,0.8690972474070948,0.5,0.40568039233769193,0.7968503749044262,0.7465310281732886,5,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_05_candidate_277.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,297,1159_25_round41_final_extensive_297,round41_final_extensive,"warm citrus drink product photo, clear tumbler filled with creamy orange liquid, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, warm product photography",,openai/clip-vit-large-patch14,0.919171929359436,0.3880380690097809,0.02234109491109848,0.14946937783739678,0.7197037090676802,0.837493896484375,0.07201349569724713,0.9279865043027529,0.9868526515334294,0.899038060230618,0.899038060230618,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.594404517521655,0.7937416414599967,0.7874715766145834,0.8584114320869621,0.9674971951865416,0.736269862045933,0.95080503295097,0.771592232959471,False,1,0.771592232959471,0.9786167981899218,0.5,0.7915361986096712,0.771592232959471,0.771592232959471,5,0.6908981577105674,0.6908981577105674,0.9267194867134094,0.8638874311881561,0.8638874311881561,0.5,0.5972622118742626,0.7689553956677885,0.7436708645730924,6,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_06_candidate_297.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,307,1159_25_round41_final_extensive_307,round41_final_extensive,"warm citrus drink product photo, clear tumbler filled with creamy orange liquid, small pineapple colored garnish over the rim, simple brown tabletop with orange halves, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9061959385871887,0.3854272663593292,0.019461615011096,0.13950489242709735,0.7443906244150593,0.8052735505280672,0.07231434584460907,0.927685654155391,0.9858678871205566,0.8842366541161284,0.8842366541161284,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4505215321187383,0.800511469620856,0.8580659323156,0.8972898787558713,0.9025587871815756,0.724750437711694,0.943098696186272,0.7411556471273794,False,1,0.7411556471273794,0.916789968881329,0.5,0.7565714666206522,0.7411556471273794,0.7411556471273794,5,0.7090414952427633,0.7090414952427633,0.909060823917389,0.8714915484082854,0.8714915484082854,0.5,0.51313199410241,0.8225556020675122,0.7366897249524407,7,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_07_candidate_307.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,431,1159_25_round41_final_extensive_431,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, small citrus cubes scattered on brown tabletop, realistic studio food photo",,openai/clip-vit-large-patch14,0.9358949661254883,0.4372714161872864,0.02106689102947712,0.1451443799445129,0.684007275230524,0.8313768174913193,0.07570912330492074,0.9242908766950793,0.9784031647697632,0.893302007668324,0.893302007668324,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7798362504147274,0.6660792537578946,0.818112440350588,0.8021945301500636,0.9551685450848847,0.5947658509380104,0.884683035000498,0.762047999708321,False,1,0.762047999708321,0.9546567811529663,0.5,0.7792917385536567,0.762047999708321,0.762047999708321,5,0.6841785690809252,0.6781785690809252,0.9193863034248352,0.870176263837118,0.870176263837118,0.5,0.435845631827381,0.896455166664496,0.7302165856159784,8,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_08_candidate_431.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,369,1159_25_round41_final_extensive_369,round41_final_extensive,"warm citrus drink product photo, clear tumbler filled with creamy orange liquid, yellow garnish and orange slice on rim, simple brown tabletop with orange halves, tiny orange chunks in the foreground, warm product photography",,openai/clip-vit-large-patch14,0.9404468536376953,0.4165809750556946,0.02450765110552311,0.1565491970772227,0.7117211454556063,0.7833721019603588,0.071576177167714,0.928423822832286,0.9931390953161948,0.8760936029367005,0.8760936029367005,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8303094031758537,0.7197297014502999,0.7373139159692503,0.845840008346647,0.858417572654635,0.7530146027585146,1.0,0.78595560672901,False,1,0.78595560672901,0.8827756981135828,0.5,0.7730314473746289,0.78595560672901,0.78595560672901,5,0.6956541896005917,0.6956541896005917,0.9190593361854553,0.864228263312311,0.864228263312311,0.5,0.45313909981077266,0.834756213150418,0.7261055253118133,9,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_09_candidate_369.png,,
stage3_fixed_seed_final,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed_final,240,1159_25_round41_final_extensive_240,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, curved yellow fruit garnish on the rim, round wooden plate cropped on the left, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9363077282905579,0.48183926939964294,0.023300273343920708,0.15264427058989377,0.6246503852843067,0.8226476598668983,0.0705696113834121,0.9294303886165879,0.9787347198516919,0.8912390269262483,0.8912390269262483,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7844131227024762,0.5505145220866379,0.7649787434121093,0.7087157116045413,0.9375753882602187,0.7915555790265144,0.8872776404553562,0.7135728137305725,False,1,0.7135728137305725,0.9460395216020399,0.5,0.7487632980123033,0.7135728137305725,0.7135728137305725,5,0.7216086766073884,0.7096086766073884,0.9236143350601196,0.8754821316125678,0.8754821316125678,0.5,0.45709801202583517,0.9306980802851554,0.7259063702067026,10,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\outputs\20260603-021040_round41_final_extensive\1159_25\rank_10_candidate_240.png,,
