stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,saliency_component_count,largest_component_fraction,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,region_norm,heuristic_norm,maxstack_score,teal_belly_score,side_asymmetry_score
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1160,offset_+1,409,1159_25_round41_final_extensive_409,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.8890335559844971,0.6130964159965515,0.04603683203458786,0.21456195383755214,0.21051816722463942,0.8546882911964699,0.0766375380758615,0.9233624619241385,0.9746440417467075,0.9027154010612015,0.9027154010612015,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5348718920700594,0.8983015406477979,0.8465655347925367,0.7784193897230567,0.8931578204097596,0.6906812695598906,0.9367113688845469,0.7838754733017741,False,1,0.7838754733017741,0.9303873103645874,0.5,0.7851562214171134,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1161,offset_+2,409,1159_25_round41_final_extensive_409,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.90080726146698,0.6176977753639221,0.04692327603697777,0.21661781098741112,0.14151523875634184,0.7818417019314237,0.07513194386556361,0.9248680561344363,0.9574105860300238,0.8670147027221982,0.8670147027221982,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6213364826468941,0.8755979693305626,0.8231875198542774,0.6476329314717824,0.7181246876833164,0.75144599844273,0.8307396502546683,0.762297518488329,False,1,0.762297518488329,0.7565276852344757,0.5,0.723960312588884,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1162,offset_+3,409,1159_25_round41_final_extensive_409,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9301056265830994,0.6618170142173767,0.047071728855371475,0.21696020108621644,0.2512163684314714,0.8031299732349537,0.08775693474304051,0.9122430652569595,0.9623501116515524,0.8731635831259755,0.8731635831259755,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8364999371859021,0.6579091939494003,0.8192940582656977,0.8555577621253926,0.7692753709779043,0.2419102001704708,0.861113710334966,0.7405550659143911,False,1,0.7405550659143911,0.7864722547165434,0.5,0.719734169550979,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1163,offset_+4,409,1159_25_round41_final_extensive_409,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9208467602729797,0.765117883682251,0.06855113804340363,0.26182272254982686,-0.02326702520437397,0.6538526746961806,0.07991783451632331,0.9200821654836767,0.8732777976997835,0.7909180210725247,0.7909180210725247,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7685040045628861,0.14821228271501752,0.3091434882145613,0.33530866981453916,0.410597312447042,0.5582908004038134,0.31339151537954296,0.39040939006022213,False,1,0.39040939006022213,0.3859427622274201,0.5,0.4045014196586065,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1164,offset_+5,409,1159_25_round41_final_extensive_409,round41_final_extensive,"warm citrus drink product photo, centered glass with smooth orange drink, orange slice pair on right rim, minimal citrus pieces around the glass, smooth warm brown surface, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.8428283333778381,0.7112009525299072,0.059079743921756744,0.2430632508664293,-0.014702260196898355,0.8529476589626735,0.0830298899294034,0.9169701100705966,0.9543773865353538,0.8956414623649827,0.8956414623649827,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.19554663366774364,0.41424386031883464,0.5224653181278913,0.3515421153500692,0.8889754926456209,0.43269042139679104,0.8120879434419547,0.4371809698116736,False,1,0.4371809698116736,0.8959377789229475,0.5,0.574427540589196,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1160,offset_+1,400,1159_25_round41_final_extensive_400,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.8707262277603149,0.6135963201522827,0.04944908246397972,0.2223714965187304,0.22326779120262782,0.8082744457103589,0.07818686896541392,0.9218131310345861,0.9721568654419326,0.8807894695201531,0.8807894695201531,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4004252098581802,0.8958349631116227,0.7577599456133068,0.8025847143133417,0.7816363221587331,0.6281513589043235,0.9214172600368742,0.7243097906197207,False,1,0.7243097906197207,0.8236097285325121,0.5,0.7207104025485414,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1161,offset_+2,400,1159_25_round41_final_extensive_400,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.898334801197052,0.6490804553031921,0.0448138527572155,0.2116928264188834,0.225262923020185,0.8559282090928818,0.07759510580499951,0.9224048941950005,0.9392967932632424,0.8958687657126954,0.8958687657126954,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6031790499444303,0.7207526605334066,0.8791915874625912,0.8063662382276869,0.8961370499923954,0.652034506009626,0.7193545756672787,0.7354764733413507,False,1,0.7354764733413507,0.8970447285531449,0.5,0.7477488785328641,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1162,offset_+3,400,1159_25_round41_final_extensive_400,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9282765984535217,0.6821967363357544,0.04912728816270828,0.22164676438583145,0.2509134476771146,0.7274836787471065,0.08583248289139883,0.9141675171086012,0.962493673190876,0.8398250210623837,0.8398250210623837,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8230677880113932,0.5573535890511838,0.7660011790230845,0.8549836135570267,0.5875152084645969,0.3195797303886782,0.8619964968927744,0.6758779787666888,False,1,0.6758779787666888,0.62411604958818,0.5,0.6367617215693699,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1163,offset_+4,400,1159_25_round41_final_extensive_400,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9247472882270813,0.7422087788581848,0.06266409158706665,0.25032796804805224,0.07824398746781253,0.7280448631004051,0.08309883288417151,0.9169011671158285,0.8688201613123387,0.82229962914819,0.82229962914819,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7971489840968712,0.261248117054647,0.4398551684850234,0.527710153571784,0.588863601798944,0.42990793198084304,0.28598068166339546,0.48477537061284504,False,1,0.48477537061284504,0.5387687535905784,0.5,0.5020249659608121,,
stage2_aux_seed_validation,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1164,offset_+5,400,1159_25_round41_final_extensive_400,round41_final_extensive,"warm citrus drink product photo, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, large orange slice at lower right, tiny orange chunks in the foreground, clean realistic tabletop photo",,openai/clip-vit-large-patch14,0.9046891331672668,0.7237578630447388,0.06383644044399261,0.2526587430586811,-0.06694662070957584,0.8789254647714122,0.08346874503025338,0.9165312549697466,0.9505815988920132,0.9064187181649495,0.9064187181649495,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6498444530336583,0.35228679706069366,0.41335094710955467,0.2525194357808235,0.9513940187281382,0.4149785365877206,0.788746940526942,0.5135168606425704,False,1,0.5135168606425704,0.9484221767215889,0.5,0.6333979886547357,,
