stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,teal_belly_score,side_asymmetry_score,saliency_component_count,largest_component_fraction,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,region_norm,heuristic_norm,maxstack_score
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,484,9338_round39_9338_hybrid_side_scales_484,round39_9338_hybrid_side_scales,"storybook spiny rodent portrait, three quarter left profile, orange face turned left, blue teal chest medallion, dense rainbow scales and thorny quills, small pale claws near torso, yellow orange aura around the body, storybook fantasy painting",,openai/clip-vit-large-patch14,0.8103859424591064,0.5809512734413147,0.012598907575011253,0.11224485545008846,0.6225477584363456,0.8866554542824074,0.061042357973560876,0.9389576420264392,0.9488516713241631,0.9174004634011697,0.879369686293469,0.7254276801807771,0.5121065798911808,0.9656906972328821,6.0,0.6964980544747081,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8760650784484846,0.9256505315927478,1.0,0.9413178857979826,0.9556307037822486,0.7299458629207107,0.6828698850025666,0.9012664876336168,True,0,0.9312664876336169,0.9533890219672182,0.8217679537111652,0.921341637899248
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,3,9338_round39_9338_hybrid_side_scales_003,round39_9338_hybrid_side_scales,"compact spiny rodent creature, orange face turned left, turquoise oval belly gem, dense rainbow scales and thorny quills, small clawed forepaws, storybook fantasy painting",,openai/clip-vit-large-patch14,0.8184482455253601,0.5917513370513916,0.013253772631287575,0.11512503042904082,0.5896460830014518,0.8758403636791089,0.051223491250985555,0.9487765087490144,0.9725513809814289,0.9207102179140398,0.8911418396784564,0.6321735288177536,0.6433924083113187,0.6683557207385699,11.0,0.21976828385228095,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9016659502896832,0.8883374137959793,0.9786547160266658,0.8614693088555826,0.9403964705807432,0.8914107374043171,0.8481624829256436,0.9057516885351586,True,0,0.9357516885351587,1.0,0.6014695740540963,0.9032179892917828
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,354,9338_round39_9338_hybrid_side_scales_354,round39_9338_hybrid_side_scales,"storybook spiny rodent portrait, asymmetric side view silhouette, orange face turned left, turquoise oval belly gem, colorful scale armor and short quills, tiny paws held near the belly, painterly fire ribbons behind, storybook fantasy painting",,openai/clip-vit-large-patch14,0.8334487080574036,0.5621317028999329,0.016519103199243546,0.1285266633786295,0.6467277745273138,0.7756647180627895,0.058182747124988304,0.9418172528750117,0.940676295719583,0.8668204207784259,0.8593162028054155,0.7149936204671711,0.9962094041766534,0.8604734738667805,8.0,0.35080336648814076,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9492981114334335,0.9906702275730545,0.8793337847965029,1.0,0.7992881616068985,0.776970302683717,0.6258510821471607,0.9018733273887185,True,0,0.9318733273887185,0.8739887246915797,0.7971191159430276,0.8902208796703186
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,199,9338_round39_9338_hybrid_side_scales_199,round39_9338_hybrid_side_scales,"compact left-facing quilled creature, compact body turned left, short ears and orange snout, blue teal chest medallion, dense rainbow scales and thorny quills, compact paws close to body, soft multicolor flames rising behind, soft brushwork fantasy illustration",,openai/clip-vit-large-patch14,0.7790952920913696,0.5636910796165466,0.013882843777537346,0.11782548017104512,0.547196260131747,0.9181541160300926,0.06096769610243931,0.9390323038975606,0.9719587847100274,0.9362224155196934,0.8875027093034292,0.5558380216655316,0.2506283641537932,0.6961507325371106,12.0,0.22079879427279578,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7767053888772489,0.9852827401269382,0.9586413949541503,0.7584484777641638,1.0,0.731173628811618,0.8440294459122786,0.8901091590705665,True,0,0.9201091590705666,0.985591130150824,0.4211388510767268,0.8697409774418351
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,201,9338_round39_9338_hybrid_side_scales_201,round39_9338_hybrid_side_scales,"small scaled fantasy rodent, compact body turned left, orange face turned left, turquoise oval belly gem, multicolor scales on shoulder, tiny paws held near the belly, painterly fire ribbons behind, vertical digital painting",,openai/clip-vit-large-patch14,0.8329429626464844,0.5764340758323669,0.017801407724618912,0.13342191620801627,0.5744276529129371,0.8079952663845485,0.05600655122111795,0.943993448778882,0.9640717497096292,0.8868099268875814,0.8672780522735872,0.6902186724669199,0.7657120196877714,0.986631174882253,11.0,0.3705278072972016,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.947692177825776,0.9412569884229357,0.843054543941999,0.8245359317614617,0.8448292606815562,0.812756428353625,0.7890216621048349,0.8844823741388802,False,1,0.8844823741388802,0.9055130837892559,0.7385921675898459,0.8656437420738395
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,300,9338_round39_9338_hybrid_side_scales_300,round39_9338_hybrid_side_scales,"compact spiny rodent creature, single small creature facing left, orange face turned left, blue teal chest medallion, multicolor scales on shoulder, tiny paws held near the belly, painterly fire ribbons behind, soft brushwork fantasy illustration",,openai/clip-vit-large-patch14,0.8188930749893188,0.5685173273086548,0.015062266029417515,0.12272842388549408,0.5875631017650539,0.8386320891203703,0.057964880144498715,0.9420351198555013,0.9620618042731799,0.8995090929082281,0.8728545989393371,0.5495176781604433,0.14172163030610518,0.854715975622336,14.0,0.2708029197080292,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9030784526484277,0.9686085467931147,0.9223051561301278,0.856414153295094,0.887984562771059,0.780552983419976,0.7750033847639359,0.8992215854862464,True,0,0.9292215854862464,0.9275930113637241,0.4062080258781058,0.8525231475576021
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,628,9338_round39_9338_hybrid_side_scales_628,round39_9338_hybrid_side_scales,"storybook spiny rodent portrait, three quarter left profile, short ears and orange snout, turquoise oval belly gem, colorful scale armor and short quills, small clawed forepaws, yellow orange aura around the body, soft brushwork fantasy illustration",,openai/clip-vit-large-patch14,0.8385478258132935,0.6100122332572937,0.019700057804584503,0.14035689439633703,0.5060636253366364,0.8105660897714121,0.060821403047735326,0.9391785969522647,0.962995328375098,0.8860663150054477,0.8613341893877655,0.7114316702346338,0.981119916956793,0.8499568551778793,9.0,0.4473889321901793,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9654897453994308,0.8252478806408561,0.7916586808918902,0.6586243104271475,0.848450545461493,0.7335793229088096,0.7815142081563463,0.8258787651525166,True,0,0.8558787651525166,0.8819787945780556,0.7887045643849699,0.8511840212254735
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,252,9338_round39_9338_hybrid_side_scales_252,round39_9338_hybrid_side_scales,"storybook spiny rodent portrait, head looking left over rounded body, orange pointed snout and small ears, turquoise oval belly gem, colorful scale armor and short quills, compact paws close to body, soft multicolor flames rising behind, painterly creature portrait",,openai/clip-vit-large-patch14,0.8005452156066895,0.5902110934257507,0.02165721170604229,0.14716389402989544,0.45815714215327324,0.8516755280671297,0.05728006742201524,0.9427199325779848,0.9672853934427336,0.9066630427210498,0.8844450744921888,0.6390000704060605,0.5118149955970772,0.9270881215731303,16.0,0.15504451038575667,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8448170361828103,0.8936587983650143,0.7412112805615336,0.5423607932066933,0.9063576673480955,0.791814283059206,0.811435081050716,0.819221570070379,False,1,0.819221570070379,0.9734846493432644,0.6175962132287028,0.8292131307261756
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,569,9338_round39_9338_hybrid_side_scales_569,round39_9338_hybrid_side_scales,"storybook spiny rodent portrait, three quarter left profile, short ears and orange snout, blue green glowing belly medallion, dense rainbow scales and thorny quills, compact paws close to body, vertical orange yellow flame aura, vertical digital painting",,openai/clip-vit-large-patch14,0.8401464223861694,0.559431254863739,0.022044431418180466,0.14847367247488852,0.5817289924552043,0.6523674858940973,0.06420024116080325,0.9357997588391967,0.9644409992673155,0.8139834840995257,0.833462852941609,0.7118558171873044,0.9470774506201999,0.9931958193580309,9.0,0.34077598828696926,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.970565896178143,1.0,0.731504372802513,0.8422554419237013,0.62561057934188,0.6780165286229278,0.7915969771426381,0.8468182772921967,True,0,0.8768182772921967,0.7716242818265672,0.789706545369667,0.8240947022135094
stage1_fixed_seed,9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,152,9338_round39_9338_hybrid_side_scales_152,round39_9338_hybrid_side_scales,"left facing spiny fantasy rodent, three quarter left profile, orange pointed snout and small ears, teal spiral jewel belly, rainbow scale armor on shoulder and back, small clawed forepaws, vertical orange yellow flame aura, storybook fantasy painting",,openai/clip-vit-large-patch14,0.8047748804092407,0.5627302527427673,0.017517533153295517,0.1323538180533358,0.568354586750808,0.810177273220486,0.06544840601863565,0.9345515939813643,0.9418577690485312,0.8800443846524025,0.8503312478783535,0.6447125964673025,0.5900324824903631,0.9443788081407547,8.0,0.5767034640274077,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8582478270686781,0.9886022989386267,0.8509703332914856,0.8097972996306261,0.8479028549957649,0.6574912696700391,0.6340912166780414,0.8580976109781199,False,1,0.8580976109781199,0.8384134545574934,0.6310911645702404,0.8202464328115671
