target_name,target,render_seed,candidate_index,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,combined_score,is_pareto,pareto_rank,selection_score,rank,render,render_path
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,5,"beige wooden cube with hedgehog face carved into the upper front, square tile seams on every side, soft orange spikes covering only the top, warm studio object photo",,openai/clip-vit-large-patch14,0.6653681993484497,0.4271852970123291,0.012205637991428375,0.11047912921193928,0.7455238574896896,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6022342693395242,0.9898168964353453,0.9275538100720341,0.9186229826847183,0.9049881023481845,True,0,0.9349881023481845,1,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_01_candidate_005.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_01_candidate_005.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,125,"pale wooden cube hedgehog block, cap cube block strict warm, tiny face on upper front, orange quills on top, warm brown studio macro photo",,openai/clip-vit-large-patch14,0.7074281573295593,0.45003634691238403,0.011525788344442844,0.10735822439125399,0.7817531489577387,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7439418252155865,0.8652844489790747,0.9594340003508887,0.9885580663484123,0.8905676891627818,True,0,0.9205676891627819,2,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_02_candidate_125.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_02_candidate_125.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,147,"pale wooden cube hedgehog block, studio checker square face hedgehog orange, tiny face on upper front, orange quills on top, warm brown studio macro photo",,openai/clip-vit-large-patch14,0.7611406445503235,0.4253167510032654,0.016936777159571648,0.13014137374244844,0.6462854491830257,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9249088458554372,1.0,0.7267030526931665,0.727058474896896,0.8794886323963281,True,0,0.9094886323963282,3,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_03_candidate_147.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_03_candidate_147.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,160,"pale wooden cube hedgehog block, hedgehog cap block square strict, tiny face on upper front, orange quills on top, warm brown studio macro photo",,openai/clip-vit-large-patch14,0.7497114539146423,0.4587329030036926,0.016297170892357826,0.1276603732266118,0.708509141213764,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8864018489784701,0.8178904159159027,0.7520465902475866,0.8471717570424037,0.8208546339669247,True,0,0.8508546339669247,4,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_04_candidate_160.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_04_candidate_160.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,54,"pale wooden cube hedgehog block, flat square front face visible, small face embedded in the top front edge, short amber quills only on the top surface, macro object render with warm beige material",,openai/clip-vit-large-patch14,0.603274941444397,0.43820762634277344,0.013234429061412811,0.11504098861454908,0.7417046009998123,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3930309263899846,0.9297479869457218,0.8809542006201034,0.9112504945313622,0.8357821721143656,False,1,0.8357821721143656,5,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_05_candidate_054.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\1159_7\rank_05_candidate_054.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,70,"small round fuzzy porcupine mascot, orange face and snout, teal oval chest gem, shaggy rainbow quills on the back, soft fantasy illustration",,openai/clip-vit-large-patch14,0.7856928110122681,0.6121641993522644,0.017051609233021736,0.13058181049832987,0.5196869294604656,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9794746894401857,0.9251097955087422,0.886843134067644,0.9163534833786896,0.9292964242773729,True,0,0.9592964242773729,1,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_01_candidate_070.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_01_candidate_070.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,52,"small round fuzzy porcupine mascot, orange face and snout, teal oval chest gem, rainbow porcupine quills behind the shoulders, soft fantasy illustration",,openai/clip-vit-large-patch14,0.7508509159088135,0.618615448474884,0.014410060830414295,0.12004191280721203,0.4730367653815866,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8104687410553049,0.8918921656185838,1.0,0.8240374122763093,0.8795869256855924,True,0,0.9095869256855924,2,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_02_candidate_052.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_02_candidate_052.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,67,"small round fuzzy porcupine mascot, orange face and snout, teal oval chest gem, shaggy rainbow quills on the back, centered storybook painting",,openai/clip-vit-large-patch14,0.7692784070968628,0.6472650170326233,0.016095010563731194,0.12686611274777515,0.5619560996971764,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8998541093121974,0.7443748791558866,0.9267350499596744,1.0,0.8708417450245445,True,0,0.9008417450245445,3,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_03_candidate_067.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_03_candidate_067.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,76,"small round fuzzy porcupine mascot, orange face and snout, teal oval chest gem, short colorful quills framing the body, soft fantasy illustration",,openai/clip-vit-large-patch14,0.7474150657653809,0.6320977807044983,0.015033487230539322,0.1226111219691726,0.5311510808486833,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7938026237194088,0.8224713273363963,0.9724168426286385,0.9390399076513605,0.8686069705535907,True,0,0.8986069705535907,4,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_04_candidate_076.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_04_candidate_076.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,73,"small round fuzzy porcupine mascot, orange face and snout, teal oval chest gem, short colorful quills framing the body, centered storybook painting",,openai/clip-vit-large-patch14,0.7560569047927856,0.6337481737136841,0.01653194986283779,0.12857663031374633,0.4891759076381849,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8357211874565234,0.8139734158295814,0.9083708482795523,0.8559751821322168,0.8466901984868381,True,0,0.8766901984868382,5,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_05_candidate_073.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-041121_notebook_ronda_02_pez_evolution\9338\rank_05_candidate_073.png
