target_name,target,render_seed,candidate_index,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,rank,render,render_path
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,1,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7996183633804321,0.37351393699645996,0.008767629973590374,0.09363562342180659,0.8200574231724082,0.754087660047743,0.0655858823016027,0.9344141176983973,0.9887106466220487,0.8641265175403331,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8978609981985088,1.0,1.0,1.0,0.7212947854888662,0.9699945609419336,0.8837101938433937,0.9532447074830208,True,0,0.9832447074830208,1,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_01_candidate_001.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_01_candidate_001.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,84,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, soft brown studio photo",,openai/clip-vit-large-patch14,0.8081464767456055,0.38579410314559937,0.017960844561457634,0.1340180755027382,0.5132214768384974,0.7356092664930555,0.06445428818317783,0.9355457118168222,0.9594984771601303,0.8503648644897888,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9228832042302599,0.9581687373812026,0.5944266440240673,0.5943455552297859,0.6574016355802204,1.0,0.4904961326932727,0.8066432278376057,True,0,0.8366432278376057,2,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_02_candidate_084.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_02_candidate_084.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,16,"small hedgehog with compact cubical wooden block body, amber quill fur only on the top surface, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, realistic studio object photo",,openai/clip-vit-large-patch14,0.8344295620918274,0.40299713611602783,0.017762186005711555,0.1332748513625566,0.510385151989049,0.7580419469762733,0.0685345245119137,0.9314654754880863,0.9604278004074709,0.8592173526416473,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,1.0,0.8995681792709807,0.6018910720922706,0.5905957736421396,0.7349676108217963,0.8918081311037503,0.5030054045118003,0.7912286232714539,True,0,0.821228623271454,3,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_03_candidate_016.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_03_candidate_016.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,61,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, amber quill fur only on the top surface, tiny face mostly hidden below orange spiky fur, realistic warm studio render",,openai/clip-vit-large-patch14,0.7610843777656555,0.42409786581993103,0.011343933641910553,0.10650790412880423,0.7603385924046433,0.6925970006872105,0.0700106266642963,0.9299893733357036,0.9923794958200589,0.8356408301407527,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7847990247009422,0.8276904737926968,0.8707197355193186,0.9210483340466856,0.5086771732014965,0.8526676897956512,0.933095197404243,0.820690716041422,False,1,0.820690716041422,4,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_04_candidate_061.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_04_candidate_061.png
1159_7.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,64,"small hedgehog with compact cubical wooden block body, amber quill fur only on the top surface, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, realistic warm studio render",,openai/clip-vit-large-patch14,0.7375446557998657,0.45407313108444214,0.011489040218293667,0.10718694052119254,0.7405702913144498,0.7255350748697916,0.07404617586890495,0.9259538241310951,0.9838221864135616,0.8473390594200018,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7157314891586122,0.7255824747542836,0.8638999646956256,0.8949135239026806,0.622567880487352,0.7456607482137539,0.8179084637166458,0.7649153951425267,False,1,0.7649153951425267,5,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_05_candidate_064.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\1159_7\rank_05_candidate_064.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,28,"tiny clawed paws close to the torso, small upright orange spiny animal, pointed snout and dark eye, glowing teal oval belly, rainbow quills rising behind the back, painterly multicolor background",,openai/clip-vit-large-patch14,0.8223198652267456,0.5461530089378357,0.021271346136927605,0.14584699563901754,0.5162722911439503,0.7619351987485533,0.05213142449680536,0.9478685755031946,0.9741301191432593,0.869450864691619,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,1.0,0.9717289667840608,0.8551485254294066,0.7415883247812886,0.8081548670362958,0.9089677910040528,0.8093395335042678,0.9004396228205802,True,0,0.9304396228205802,1,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_01_candidate_028.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_01_candidate_028.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,120,"orange snout and cheek, little forepaws beside the belly, small orange-faced spiny creature, glowing teal belly patch, rainbow quills rising behind the back, vertical painterly illustration",,openai/clip-vit-large-patch14,0.8133242130279541,0.6191483736038208,0.018291926011443138,0.13524764697192754,0.6312394918987406,0.8452363190827548,0.05084371850968777,0.9491562814903123,0.9680977961715133,0.9061806013431515,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9554232592868702,0.6918979266857888,0.9617001003979733,1.0,0.964326165015061,0.9265809661687511,0.7365339481963744,0.8747312541445678,True,0,0.9047312541445678,2,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_02_candidate_120.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_02_candidate_120.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,29,"tiny clawed paws close to the torso, small upright orange spiny animal, glowing teal oval belly, pointed snout and dark eye, rainbow quills rising behind the back, painterly multicolor background",,openai/clip-vit-large-patch14,0.8202235698699951,0.5489212274551392,0.022049786522984505,0.1484917052329338,0.528768895871692,0.6595300745081017,0.054842321045781774,0.9451576789542182,0.9701842049731599,0.8216305621572542,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9896120912068435,0.9611168755853811,0.8285621773983041,0.7696769321496577,0.6161677592021434,0.8718882897450957,0.761715327692615,0.85857285184207,True,0,0.88857285184207,3,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_03_candidate_029.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_03_candidate_029.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,30,"tiny clawed paws close to the torso, pointed snout and dark eye, small upright orange spiny animal, glowing teal oval belly, rainbow quills rising behind the back, painterly multicolor background",,openai/clip-vit-large-patch14,0.7912461757659912,0.5387783646583557,0.02220531925559044,0.14901449344137785,0.5063371833138544,0.6609819200303819,0.05391989074072169,0.9460801092592783,0.9795873560420992,0.8244873734628392,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.846018524562516,1.0,0.8233067689072462,0.7192571917190036,0.6188896505617012,0.8845052432288765,0.8752042639646249,0.8423142655319754,True,0,0.8723142655319754,4,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_04_candidate_030.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_04_candidate_030.png
9338.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,58,"small upright orange spiny animal, pointed snout and dark eye, glowing teal oval belly, tiny clawed paws close to the torso, rainbow quills rising behind the back, soft storybook painting",,openai/clip-vit-large-patch14,0.7797591090202332,0.5882301330566406,0.02004767395555973,0.14158980879837266,0.5002032051236006,0.8060907434534145,0.05076498679017914,0.9492350132098208,0.9707356734925394,0.8891202238759816,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.789095915221432,0.8104244036739593,0.8979445478127994,0.7054698543785103,0.8909368116470252,0.9276578545117385,0.7683711364946889,0.8274960008426969,True,0,0.857496000842697,5,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_05_candidate_058.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260518-191349_notebook_ronda_06_precision_ablation\9338\rank_05_candidate_058.png
