"target_name","label","rank","comparable_raw_score","image_path","prompt","clip_iisim","lpips_alex","pixel_rmse_01","pixel_ssim_01","exported_score_key","exported_score","id","source_file","source_round"
"1159_25.png","orange juice","1","0.8505703170349568","..\imagens\selected_top3\1159_25\rank_01.png","realistic orange juice still life, single clear glass, pale orange juice without milky creaminess, orange slice on the rim, minimal citrus pieces on brown studio surface, warm realistic product photo","0.9511521458625793","0.2611266076564789","0.11109500872224856","0.8233507386559753","","","1159_25_round43_fixed_seed_micro_less_milky_005","round history archive","20"
"1159_25.png","orange juice","2","0.8500213707723752","..\imagens\selected_top3\1159_25\rank_02.png","orange juice still life, single tall clear glass, pale orange juice, orange slice on the rim, scattered tiny citrus pieces on brown tabletop, warm realistic product photo","0.9536371827125549","0.2629169821739197","0.11719625758190597","0.8265615401327714","","","00843","round history archive","14"
"1159_25.png","orange juice","3","0.8461258172428052","..\imagens\selected_top3\1159_25\rank_03.png","realistic orange juice still life, single clear glass, pale creamy orange juice, orange slice on the rim, minimal citrus pieces on brown studio surface, warm realistic product photo","0.9464442133903503","0.2819584012031555","0.10876663497326555","0.8287840917572918","selection_score","0.9571052766142449","00678","round history archive","14"
"1159_29.png","palm tree","1","0.7799017206559455","..\imagens\selected_top3\1159_29\rank_01.png","single slender palm tree rising from shallow turquoise ocean, gentle surf and reflective foreground water, low sun reflection behind the tree, shallow turquoise sea, muted colors","0.9245162010192871","0.4505194425582886","0.136878492493686","0.7824886166564698","selection_score","0.9519430068488013","00601","round history archive","14"
"1159_29.png","palm tree","2","0.7589903797560592","..\imagens\selected_top3\1159_29\rank_02.png","single slender palm tree in calm turquoise water, water fills foreground around the palm, low sun reflection behind the tree, muted colors, natural ocean photograph","0.91419517993927","0.48116743564605713","0.1383919173364767","0.7413256920675005","score","0.9999746471395546","23","round history archive","1"
"1159_29.png","palm tree","3","0.7544501231102332","..\imagens\selected_top3\1159_29\rank_03.png","single slender palm tree rising from shallow turquoise ocean, shallow surf and reflective water in foreground, low sun reflection behind the tree, soft atmospheric tropical photo","0.9252617955207825","0.5040834546089172","0.14239905491035446","0.7390212064394224","score","1.0183238595733881","54","round history archive","3"
"1159_3.png","warrior","1","0.7075562053238529","..\imagens\selected_top3\1159_3\rank_01.png","centered blond battle mage, light grey segmented armor, diagonal golden energy slash across front, teal ghost smoke cloud on the left, soft brushwork square crop","0.8047899007797241","0.4917292892932892","0.13914786167377952","0.6563120714827564","maxstack_score","0.7995131486830688","1159_3_round41_final_extensive_671","round history archive","18"
"1159_3.png","warrior","2","0.7052535139807761","..\imagens\selected_top3\1159_3\rank_02.png","single blond anime warrior mage in reflective silver armor, curved amber energy blade crossing the lower body, blue green mist and orange fire clouds behind, soft brushwork, centered square composition, low contrast","0.8784606456756592","0.5260629057884216","0.14001773474965934","0.6086340507855262","selection_score","0.9130197183261342","00051","round history archive","14"
"1159_3.png","warrior","3","0.7030133256399885","..\imagens\selected_top3\1159_3\rank_03.png","single stern blond anime warrior mage, teal ghost smoke cloud on the left, orange smoke blob behind right shoulder, flat painterly anime concept art, centered square composition","0.8398918509483337","0.4795234799385071","0.14553579918965898","0.5972207307397865","maxstack_score","0.846589068289822","1159_3_round41_final_extensive_015","round history archive","18"
"1159_7.png","hedgehog-cube","1","0.8217073115420741","..\imagens\selected_top3\1159_7\rank_01.png","small hedgehog in wooden cube, peach beige square tile sides, muzzle peeking through bristles, tall orange radial quills, flat pale top rim visible, fibrous wooden block texture, warm brown studio background, tight square crop","0.846835732460022","0.34879326820373535","0.07325379597540597","0.8620405778874158","","","07501","round history archive","15"
"1159_7.png","hedgehog-cube","2","0.8201204820726281","..\imagens\selected_top3\1159_7\rank_02.png","small hedgehog in wooden cube, peach beige square tile sides, muzzle peeking through bristles, tall orange radial quills, square wooden top plane, soft balsa wood grain, warm brown studio background, centered realistic square photo","0.7930729389190674","0.3118388056755066","0.07226004127890961","0.8715078363258614","","","07504","round history archive","15"
"1159_7.png","hedgehog-cube","3","0.8130586727954072","..\imagens\selected_top3\1159_7\rank_03.png","small hedgehog in wooden cube, peach beige square tile sides, muzzle peeking through bristles, tall orange radial quills, square wooden top plane, soft balsa wood grain, warm brown studio background, tight square crop","0.8298602104187012","0.35573142766952515","0.07786878354674028","0.8559746919791934","","","01720","round history archive","15"
"7836.png","astronaut","1","0.8288035113879539","..\imagens\selected_top3\7836\rank_01.png","tiny astronaut standing bottom center, thin curved ground arc reflecting pale pink light, wide pale pink diagonal planetary stripe, slanted planetary ring, subtle blue nebula clouds spread through most of the image, moody realistic space illustration","0.9343979954719543","0.34525635838508606","0.08413666125642312","0.8102090697213704","","","7836_round44_conservative_micro_more_nebula_less_edge_003","round history archive","21"
"7836.png","astronaut","2","0.8224463175772232","..\imagens\selected_top3\7836\rank_02.png","tiny astronaut standing bottom center, thin curved ground arc reflecting pale pink light, wide pale pink diagonal planetary stripe, slanted planetary ring from lower left to upper right, subtle blue nebula clouds across most of the sky, moody realistic space illustration","0.9169573783874512","0.35390594601631165","0.08655461444984217","0.8132884523875956","","","7836_round43_fixed_seed_micro_reflected_pink_light_003","round history archive","20"
