language,category,target_name,run_dir,evaluated_prompt_count,best_id,best_prompt,clip_iisim,lpips_alex,pixel_rmse_01,pixel_ssim_01,selection_score
ingles,1159_25,1159_25.png,20260531-155737_ingles_1159_25,1000,00179,"realistic orange juice still life, single tall clear glass, pale creamy orange juice, orange slice on the rim, scattered tiny citrus pieces on brown tabletop, warm realistic product photo",0.9563315510749817,0.2788272798061371,0.11582206930593954,0.8212368182711458,0.9605905673588626
ingles,1159_29,1159_29.png,20260531-162713_ingles_1159_29,1000,00601,"single slender palm tree rising from shallow turquoise ocean, gentle surf and reflective foreground water, low sun reflection behind the tree, shallow turquoise sea, muted colors",0.9245162010192871,0.4505194425582886,0.136878492493686,0.7824886166564698,0.9519430068488013
ingles,1159_3,1159_3.png,20260531-165656_ingles_1159_3,1000,00051,"single blond anime warrior mage in reflective silver armor, curved amber energy blade crossing the lower body, blue green mist and orange fire clouds behind, soft brushwork, centered square composition, low contrast",0.8784606456756592,0.5260629057884216,0.14001773474965934,0.6086340507855262,0.9130197183261342
ingles,1159_7,1159_7.png,20260531-172613_ingles_1159_7,1000,00290,"small hedgehog with compact cubical wooden block body, warm peach beige cube grid sides, small face mostly hidden below orange spiky fur, soft amber bristles forming a low square cap on top, subtle wood block texture, realistic studio object photo",0.8268659710884094,0.34956350922584534,0.08370593121876724,0.8253483201417292,0.9546455018460696
ingles,7836,7836.png,20260531-175246_ingles_7836,1000,00648,"small space explorer at bottom edge, broad pale pink cosmic dust stripe in empty sky, empty dark blue starfield, tiny rim-lit grey ground below the explorer, realistic sci fi landscape",0.8996080756187439,0.4131477475166321,0.0768605213612951,0.7918453639572072,0.9308434267197387
ingles,9338,9338.png,20260531-182043_ingles_9338,1000,00917,"rainbow fantasy hamster with orange snout and teal belly, rainbow quills behind the back, small paws near the belly, vertical storybook illustration, warm lighting",0.8416189551353455,0.5463301539421082,0.14104452735186984,0.6180169091143896,0.9067756362418452
chines,1159_25,1159_25.png,20260531-184715_chines_1159_25,200,00003,高透明高杯中的浅奶油质感橙汁，杯口橙片，棕色台面上有橙块，真实食品摄影，单杯居中构图，浅橙色奶油质感果汁，杯口小橙片，暖棕色桌面,0.577826738357544,0.7303283214569092,0.18776175983034948,0.32662512327871535,0.9393235268378155
chines,1159_29,1159_29.png,20260531-185316_chines_1159_29,200,00002,单棵细长棕榈树位于平静青绿色海面，前景被海水覆盖，低位夕阳反光，自然海景摄影，单棵细长棕榈树，浅青绿色海水，树后低位日光反射，自然海景照片,0.6160048246383667,0.7252902388572693,0.21727288886598303,0.38125697846218815,0.5568576841057991
chines,1159_3,1159_3.png,20260531-185918_chines_1159_3,200,00002,金发动漫战斗法师，银色盔甲，下半身琥珀色弧形能量刃，背后蓝绿雾与火云，情绪化关键视觉，金发动漫战斗法师，腰部斜向黄色能量刃，蓝绿色雾气与橙色火云，柔和笔触,0.6677249073982239,0.6322121620178223,0.1758692785886653,0.466212775432883,0.677330059903509
chines,1159_7,1159_7.png,20260531-190525_chines_1159_7,200,00001,小刺猬方块木质身体，暖桃米色四乘四格纹侧面，面部被橙色刺毛遮挡，顶部琥珀刺毛，真实棚拍，小刺猬方块木质身体，暖桃米色四乘四格纹侧面，脸部大多藏在橙色刺毛下，真实棚拍物体照,0.5251802206039429,0.6221330165863037,0.19673878597246663,0.3345676768101528,0.9695173767438201
chines,7836,7836.png,20260531-191058_chines_7836,200,00002,底边小宇航员，宽幅粉白星云带穿过空旷天空，深蓝星场背景，灰色轮廓地面，科幻概念画，底部小型太空探索者，斜向粉白宇宙尘带，蓝黑宇宙背景，人物下方小片灰色轮廓地面,0.7293146848678589,0.5494652986526489,0.15312506763301056,0.45858274964897583,0.9922217665993973
chines,9338,9338.png,20260531-191701_chines_9338,200,00002,彩虹龙仓鼠，橙色口鼻与蓝绿色腹部，肩后彩色鬃刺，前爪贴近腹部，绘本风奇幻背景，彩色龙仓鼠橙色脸青绿色腹部，背后彩虹刺毛，小巧带爪前爪，竖版童话插画,0.5696009397506714,0.6703860759735107,0.15070098583746025,0.3756696515839179,0.9161836390194247
