category,target_name,id,prompt,seed_index,combo,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,saliency_component_count,largest_component_fraction,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,rank
1159_25,1159_25.png,00179,"realistic orange juice still life, single tall clear glass, pale creamy orange juice, orange slice on the rim, scattered tiny citrus pieces on brown tabletop, warm realistic product photo",1,"[1, 1, 0, 1, 1, 0]",0.9563315510749817,0.2788272798061371,0.01341475173830986,0.11582206930593954,0.8212368182711458,0.8287189624927662,0.06483324264513488,0.9351667573548651,0.9800898515892127,0.8962498685137901,0.8962498685137901,0.5,0.0,0.0,0.9597041534620643,0.9569232167014894,0.9377892744353464,0.9822130635080261,0.8618183671760365,0.8037594986141728,0.6497276320745121,0.9305905673588626,True,0,0.9605905673588626,1
1159_25,1159_25.png,00678,"realistic orange juice still life, single clear glass, pale creamy orange juice, orange slice on the rim, minimal citrus pieces on brown studio surface, warm realistic product photo",1,"[1, 0, 0, 1, 4, 0]",0.9464442133903503,0.2819584012031555,0.011830180883407593,0.10876663497326555,0.8287840917572918,0.8513550934968173,0.06264501749820367,0.9373549825017964,0.9811036916515784,0.9074047742795123,0.9074047742795123,0.5,0.0,0.0,0.872000215714825,0.9484457739145253,1.0,1.0,0.9347358303022362,0.8839196501694924,0.6713219477753818,0.9271052766142449,True,0,0.9571052766142449,2
1159_25,1159_25.png,00843,"orange juice still life, single tall clear glass, pale orange juice, orange slice on the rim, scattered tiny citrus pieces on brown tabletop, warm realistic product photo",1,"[2, 1, 1, 1, 1, 0]",0.9536371827125549,0.2629169821739197,0.013734962791204453,0.11719625758190597,0.8265615401327714,0.7779399730541088,0.0676635787608754,0.9323364212391246,0.9784707416066929,0.8720848836293812,0.8720848836293812,0.5,0.0,0.0,0.9358042197626503,1.0,0.9256724796812081,0.9947620309946307,0.6982446942141537,0.7000772187955624,0.6152413522214775,0.9148624076061432,True,0,0.9448624076061433,3
1159_29,1159_29.png,00601,"single slender palm tree rising from shallow turquoise ocean, gentle surf and reflective foreground water, low sun reflection behind the tree, shallow turquoise sea, muted colors",1,"[0, 2, 0, 0, 2, 2]",0.9245162010192871,0.4505194425582886,0.018735721707344055,0.136878492493686,0.7824886166564698,0.8581633391203703,0.1051125870530431,0.8948874129469568,0.9778625895954893,0.8949566150546995,0.8949566150546995,0.5,0.0,0.0,0.876771307746248,1.0,0.9975029752975679,0.9989618289377861,0.7765068029304932,0.7754768893402937,0.8878515409884558,0.9219430068488013,True,0,0.9519430068488013,1
1159_29,1159_29.png,00894,"solitary slender palm tree in shallow ocean, gentle surf and reflective foreground water, low sun reflection behind the tree, clear turquoise ocean, natural ocean photograph",1,"[3, 2, 0, 0, 0, 1]",0.9285949468612671,0.48109954595565796,0.01880023442208767,0.13711394685475167,0.7794192346926161,0.8657791702835649,0.10922505966264785,0.8907749403373522,0.9692255161326204,0.8952169589722014,0.8952169589722014,0.5,0.0,0.0,0.9177139151016774,0.9166281535273486,0.9950809382823415,0.9928430869959142,0.8179892876931607,0.6482857968101515,0.7971785000344174,0.9038671837149508,True,0,0.9338671837149508,2
1159_29,1159_29.png,00303,"single slender palm tree rising from shallow turquoise ocean, gentle surf and reflective foreground water, low sun reflection behind the tree, calm turquoise water, muted colors",1,"[0, 2, 0, 0, 1, 2]",0.9241654872894287,0.4580432176589966,0.019118569791316986,0.13826991643635642,0.775146725829448,0.8495664243344908,0.09924836749222397,0.900751632507776,0.9758900019029887,0.8927459627088402,0.8927459627088402,0.5,0.0,0.0,0.8732508298611195,0.9794876094943176,0.9831898817631481,0.9843259394118244,0.7296804777442597,0.9568462414510476,0.8671430770166636,0.916015906480539,False,1,0.916015906480539,3
1159_3,1159_3.png,00051,"single blond anime warrior mage in reflective silver armor, curved amber energy blade crossing the lower body, blue green mist and orange fire clouds behind, soft brushwork, centered square composition, low contrast",1,"[0, 1, 0, 0, 2, 0]",0.8784606456756592,0.5260629057884216,0.019604966044425964,0.14001773474965934,0.6086340507855262,0.8458754928023726,0.08419667623490985,0.9158033237650901,0.9762860361008979,0.8964323422990288,0.8964323422990288,0.5,0.0,0.0,0.9213651960152479,0.8580988470191818,0.9707609700263286,0.9534550837724233,0.8685451428971208,0.5326687368162941,0.7396314126466896,0.8830197183261341,True,0,0.9130197183261342,1
1159_3,1159_3.png,00028,"single stern blond anime warrior mage in reflective silver armor, diagonal yellow energy blade across the waist, blue green mist and orange fire clouds behind, soft brushwork, square crop, low contrast",1,"[2, 0, 0, 0, 0, 0]",0.8748735189437866,0.5184422731399536,0.020959485322237015,0.14477391105526236,0.5780836475663521,0.8201180917245371,0.08167017078099448,0.9183298292190055,0.9797410560306301,0.8864167927088197,0.8864167927088197,0.5,0.0,0.0,0.8815850963766148,0.9119362001279265,0.9073462116373117,0.8537103327745494,0.7888288382831358,0.679765610777054,0.7913990767094757,0.868829419294523,True,0,0.898829419294523,2
1159_3,1159_3.png,00407,"single stern blond anime warrior mage in reflective silver armor, diagonal yellow energy blade across the waist, blue green mist and orange fire clouds behind, soft brushwork, square crop, soft shadowed lighting",1,"[2, 0, 0, 0, 0, 3]",0.8708928823471069,0.5059769153594971,0.020796850323677063,0.1442111310671859,0.5828208827558385,0.7865470603660301,0.08216371513003821,0.9178362848699618,0.9726113603132313,0.8697111489318464,0.8697111489318464,0.5,0.0,0.0,0.8374410969371399,1.0,0.9148498352788491,0.8691770466180228,0.6849302130338963,0.6510307308294107,0.6845725749020611,0.8650335484722234,True,0,0.8950335484722234,3
1159_7,1159_7.png,00290,"small hedgehog with compact cubical wooden block body, warm peach beige cube grid sides, small face mostly hidden below orange spiky fur, soft amber bristles forming a low square cap on top, subtle wood block texture, realistic studio object photo",1,"[0, 1, 1, 2, 1, 0]",0.8268659710884094,0.34956350922584534,0.007006682921200991,0.08370593121876724,0.8253483201417292,0.7759280734592013,0.06317625165257203,0.936823748347428,0.9809516539880089,0.8732462757758421,0.841001820286125,0.8535297284039158,2.0,0.8911134527572884,0.9289637220569109,0.9494191918059904,0.9603928040065679,0.9808622627695486,0.7547357122199724,0.9336978799710843,0.7765271105569873,0.9246455018460695,True,0,0.9546455018460696,1
